 ,Area,Mean,Min,Max
1,0.186,4050.000,1418,12960
2,0.186,3822.000,1338,12230
3,0.186,4316.000,1511,13811
4,0.186,3936.000,1378,12595
5,0.186,4202.000,1471,13446
6,0.186,3708.000,1298,11866
7,0.186,4126.000,1444,13203
8,0.186,4050.000,1418,12960
9,0.186,3822.000,1338,12230
10,0.186,4316.000,1511,13811
11,0.186,3936.000,1378,12595
12,0.186,4202.000,1471,13446
13,0.186,3708.000,1298,11866
14,0.186,4126.000,1444,13203
15,0.186,4050.000,1418,12960
16,0.186,3822.000,1338,12230
17,0.186,4316.000,1511,13811
18,0.186,3936.000,1378,12595
19,0.186,4202.000,1471,13446
20,0.186,3708.000,1298,11866
21,0.186,4126.000,1444,13203
22,0.186,4050.000,1418,12960
23,0.186,3822.000,1338,12230
24,0.186,4316.000,1511,13811
25,0.186,3936.000,1378,12595
26,0.186,4202.000,1471,13446
27,0.186,3708.000,1298,11866
28,0.186,4126.000,1444,13203
29,0.186,4050.000,1418,12960
30,0.186,3822.000,1338,12230
31,0.186,4316.000,1511,13811
32,0.186,3936.000,1378,12595
33,0.186,4202.000,1471,13446
34,0.186,3708.000,1298,11866
35,0.186,4126.000,1444,13203
36,0.186,4050.000,1418,12960
