 ,Area,Mean,Min,Max
1,0.186,4400.000,1540,14080
2,0.186,4160.000,1456,13312
3,0.186,4680.000,1638,14976
4,0.186,2340.000,819,7488
5,0.186,2688.000,941,8602
6,0.186,2038.000,713,6522
7,0.186,1522.000,533,4870
8,0.186,1300.000,455,4160
9,0.186,1340.000,469,4288
10,0.186,881.500,309,2821
11,0.186,885.000,310,2832
12,0.186,972.000,340,3110
13,0.186,4040.000,1414,12928
14,0.186,4480.000,1568,14336
15,0.186,4400.000,1540,14080
16,0.186,4160.000,1456,13312
17,0.186,5108.000,1788,16346
18,0.186,3892.000,1362,12454
19,0.186,4976.000,1742,15923
20,0.186,3676.000,1287,11763
21,0.186,4480.000,1568,14336
22,0.186,4000.000,1400,12800
23,0.186,4160.000,1456,13312
24,0.186,5108.000,1788,16346
25,0.186,4280.000,1498,13696
26,0.186,4560.000,1596,14592
27,0.186,4040.000,1414,12928
28,0.186,3284.996,1150,10512
29,0.186,3511.270,1229,11236
30,0.186,2792.849,977,8937
31,0.186,2754.000,964,8813
32,0.186,2146.000,751,6867
33,0.186,2480.000,868,7936
34,0.186,1558.241,545,4986
35,0.186,1842.498,645,5896
36,0.186,1955.635,684,6258
